bhk,propertytype,location,sqft,pricepersqft,totalprice
2,Flat,Ahmedabad,670,15432,3300000
2,Flat,Ahmedabad,735,4667,4700000
3,Flat,Ahmedabad,1155,17361,9000000
2,Flat,Ahmedabad,907,21000,7650000
2,Flat,Ahmedabad,812,7736,5800000
2,Flat,Ahmedabad,693,7392,4400000
3,Flat,Ahmedabad,1050,3968,7000000
3,Flat,Ahmedabad,1330,3949,8000000
4,Flat,Ahmedabad,2456,7566,19000000
3,Flat,Ahmedabad,1935,3767,17000000
1,Flat,Ahmedabad,441,5091,2500000
3,Flat,Ahmedabad,1044,5000,7500000
1,Flat,Ahmedabad,648,4853,3500000
3,Flat,Ahmedabad,1899,3700,7500000
2,Flat,Amritsar,1039,4773,6200000
2,Flat,Amritsar,750,1875,1500000
2,Flat,Amritsar,1500,4412,4400000
3,Flat,Amritsar,1500,11667,4500000
2,Flat,Amritsar,1650,5000,4500000
2,Flat,Amritsar,700,2700,1500000
3,Flat,Amritsar,2086,2755,9000000
3,Flat,Amritsar,1300,5662,4000000
2,Flat,Amritsar,1700,5051,3700000
3,Flat,Amritsar,1550,2444,4700000
2,Flat,Bangalore,1254,8530,10600000
3,Flat,Bangalore,2084,9985,20800000
2,Flat,Bangalore,1241,9205,11399999
3,Flat,Bangalore,1933,6300,12100000
3,Flat,Bangalore,1480,9459,14000000
2,Flat,Bangalore,875,9642,8440000
3,Flat,Bangalore,1563,5599,8750000
3,Flat,Bangalore,1402,8034,11200000
3,Flat,Bangalore,1243,9299,11500000
3,Flat,Bangalore,1570,8301,13000000
2,Flat,Bangalore,971,8384,8140000
3,Flat,Bangalore,1494,9973,14900000
3,Flat,Bangalore,1644,7263,11900000
4,Flat,Bangalore,2094,7999,16700000
3,Flat,Bangalore,1595,9913,15800000
3,Flat,Bangalore,2170,9834,21300000
2,Flat,Bangalore,865,9491,8209999
3,Flat,Bangalore,1242,8099,10000000
3,Flat,Bangalore,1539,8690,13300000
3,Flat,Bangalore,1850,7500,13799999
3,Flat,Bangalore,1389,7842,10800000
3,Flat,Bangalore,1906,9202,17500000
2,Flat,Bangalore,1205,9100,10900000
3,Flat,Bangalore,1462,8557,12500000
3,Flat,Bangalore,2172,9834,21300000
3,Flat,Bangalore,1427,9460,13500000
4,Flat,Bangalore,2145,9966,21300000
3,Flat,Bangalore,1862,8935,16600000
3,Flat,Bangalore,1759,7800,13700000
3,Flat,Bangalore,1470,9867,14500000
3,Flat,Bangalore,1334,8640,11500000
2,Flat,Bangalore,1312,9854,12900000
2,Flat,Bangalore,1644,9489,15600000
2,Flat,Bangalore,1131,8466,9570000
3,Flat,Bangalore,1485,8570,12700000
3,Flat,Bangalore,1447,9883,14300000
3,Flat,Bangalore,1661,9500,15700000
2,Flat,Bangalore,1143,8311,9500000
2,Flat,Bangalore,1354,9380,12700000
2,Flat,Bangalore,920,6577,6050000
4,Flat,Bangalore,2371,8984,21300000
3,Flat,Bangalore,1764,6973,12300000
2,Flat,Bangalore,933,7271,6780000
3,Flat,Bangalore,1616,6850,11000000
1,Flat,Bangalore,680,5515,3750000
3,Flat,Bangalore,1649,7779,12800000
3,Flat,Bangalore,1967,7299,14300000
3,Flat,Bangalore,1931,8027,15500000
3,Flat,Bangalore,1550,9488,14700000
3,Flat,Bangalore,1601,9300,14800000
2,Flat,Bangalore,1168,8733,10200000
3,Flat,Bangalore,1625,7385,12000000
3,Flat,Bangalore,1540,6500,10000000
3,Flat,Bangalore,1800,7000,12600000
3,Flat,Bangalore,1885,6800,12800000
3,Flat,Bangalore,1600,7841,12500000
3,Flat,Bangalore,1841,10000,18400000
3,Flat,Bangalore,1638,9615,15700000
2,Flat,Bangalore,1225,6999,8570000
4,Flat,Bangalore,2250,9467,21300000
2,Flat,Bangalore,1417,10001,14100000
3,Flat,Bangalore,1600,7841,12500000
3,Flat,Bangalore,1916,6950,13300000
2,Flat,Bangalore,1125,6554,7370000
3,Flat,Bangalore,1891,8497,16000000
3,Flat,Bangalore,1680,5450,9160000
3,Flat,Bangalore,1441,5694,8209999
3,Flat,Bangalore,1200,3776,5200000
3,Flat,Bangalore,1531,9846,15000000
3,Flat,Bangalore,1540,5390,8300000
2,Flat,Bangalore,900,9222,8300000
3,Flat,Bangalore,1786,9742,17400000
4,Flat,Bangalore,2845,11847,27000000
2,Flat,Bangalore,895,5090,4800000
3,Flat,Bangalore,1506,8632,13000000
4,Flat,Bangalore,3095,5977,18500000
3,Flat,Bangalore,985,5669,6140000
3,Flat,Bangalore,1606,8842,14200000
2,Flat,Bangalore,888,8446,7500000
3,Flat,Bangalore,1748,6293,11000000
1,Flat,Bangalore,633,7583,4800000
3,Flat,Bangalore,1480,8161,12000000
2,Flat,Bangalore,1305,7499,9790000
3,Flat,Bangalore,1732,6986,12100000
3,Flat,Bangalore,1209,6127,9630000
2,Flat,Bangalore,1152,6299,7259999
3,Flat,Bangalore,1515,9571,14500000
2,Flat,Bangalore,1040,5577,5800000
4,Flat,Bangalore,2118,4049,8580000
3,Flat,Bangalore,1729,5399,9330000
2,Flat,Bangalore,1110,20294,7530000
3,Flat,Bangalore,1252,14000,12500000
2,Flat,Bangalore,929,5234,7400000
2,Flat,Bangalore,1199,11364,6800000
2,Flat,Bangalore,1300,9499,12000000
3,Flat,Bangalore,1615,10819,12700000
3,Flat,Bangalore,1350,11064,9560000
2,Flat,Bangalore,811,8629,5130000
2,Flat,Bhilai,690,2418,2200000
3,Flat,Bhilai,1100,2372,3700000
2,Flat,Bhilai,1000,2000,2000000
3,Flat,Bhilai,900,3750,3000000
2,Flat,Bhilai,1076,2667,3900000
2,Flat,Bhilai,750,3112,2800000
2,Flat,Bhilai,800,4348,2200000
3,Flat,Bhilai,1288,4785,5600000
3,Flat,Bhilai,950,2917,5000000
3,Flat,Bhilai,800,2000,2700000
2,Flat,Bhilai,800,2261,1600000
3,Flat,Bhilai,1352,3540,4800000
2,Flat,Bhilai,1035,3929,1800000
3,Flat,Bhilai,960,3465,6000000
2,Flat,Bhilai,661,2250,2000000
3,Flat,Bhilai,1600,1548,4500000
2,Flat,Bhilai,1100,1833,2600000
2,Flat,Bhilai,775,11111,1200000
2,Flat,Bhilai,1400,3901,2800000
3,Flat,Bhilai,1288,2267,5600000
3,Flat,Bhilai,1256,1722,4900000
3,Flat,Bhilai,900,1920,3200000
3,Flat,Bhilai,1800,3804,3100000
3,Flat,Bhilai,1302,2031,2500000
2,Flat,Bhilai,1000,9091,2100000
3,Flat,Bhilai,2182,3125,8300000
3,Flat,Bhilai,1196,3781,4500000
3,Flat,Bhilai,1600,3613,7500000
3,Flat,Bhilai,2050,5500,7750000
3,Flat,Bhilai,1320,2467,3600000
2,Flat,Bhilai,650,1821,1850000
3,Flat,Bhilai,1102,2232,3600000
2,Flat,Bhilai,900,5310,3000000
2,Flat,Bhilai,1757,2917,3200000
2,Flat,Bhilai,770,2273,2500000
3,Flat,Bhilai,1200,4211,3500000
3,Flat,Bhilai,2200,1575,5000000
2,Flat,Bhilai,535,3789,1850000
2,Flat,Bhilai,650,3810,2500000
3,Flat,Bhilai,1302,3167,2050000
3,Flat,Bhilai,950,3793,3600000
2,Flat,Bhilai,810,3500,2000000
3,Flat,Bhilai,1280,3333,5500000
2,Flat,Bhilai,1000,4864,3500000
3,Flat,Bhilai,1200,2667,4000000
2,Flat,Bhilai,1025,1687,1650000
2,Flat,Bhilai,1075,2667,2900000
